New York Yankees,103,59,0.636,—,53–28,50–31,1980
Kansas City Royals,97,65,0.599,—,49–32,48–33,1980
Philadelphia Phillies,91,71,0.562,—,49–32,42–39,1980
Houston Astros,93,70,0.571,—,55–26,38–44,1980
Milwaukee Brewers,62,47,0.569,—,28–21,34–26,1981
New York Yankees,59,48,0.551,2,32–19,27–29,1981
Oakland Athletics,64,45,0.587,—,35–21,29–24,1981
Kansas City Royals,50,53,0.485,11,19–28,31–25,1981
Montreal Expos,60,48,0.556,2,38–18,22–30,1981
Philadelphia Phillies,59,48,0.551,2½,36–19,23–29,1981
Los Angeles Dodgers,63,47,0.573,4,33–23,30–24,1981
Houston Astros,61,49,0.555,6,31–20,30–29,1981
Milwaukee Brewers,95,67,0.586,—,48–34,47–33,1982
California Angels,93,69,0.574,—,52–29,41–40,1982
St. Louis Cardinals,92,70,0.568,—,46–35,46–35,1982
Atlanta Braves,89,73,0.549,—,42–39,47–34,1982
Baltimore Orioles,98,64,0.605,—,50–31,48–33,1983
Chicago White Sox,99,63,0.611,—,55–26,44–37,1983
Philadelphia Phillies,90,72,0.556,—,50–31,40–41,1983
Los Angeles Dodgers,91,71,0.562,—,48–32,43–39,1983
Detroit Tigers,104,58,0.642,—,53–29,51–29,1984
Kansas City Royals,84,78,0.519,—,44–37,40–41,1984
Chicago Cubs,96,65,0.596,—,51–29,45–36,1984
San Diego Padres,92,70,0.568,—,48–33,44–37,1984
Toronto Blue Jays,99,62,0.615,—,54–26,45–36,1985
Kansas City Royals,91,71,0.562,—,50–32,41–39,1985
St. Louis Cardinals,101,61,0.623,—,54–27,47–34,1985
Los Angeles Dodgers,95,67,0.586,—,48–33,47–34,1985
Boston Red Sox,95,66,0.590,—,51–30,44–36,1986
California Angels,92,70,0.568,—,50–32,42–38,1986
New York Mets,108,54,0.667,—,55–26,53–28,1986
Houston Astros,96,66,0.593,—,52–29,44–37,1986
Detroit Tigers,98,64,0.605,—,54–27,44–37,1987
Minnesota Twins,85,77,0.525,—,56–25,29–52,1987
St. Louis Cardinals,95,67,0.586,—,49–32,46–35,1987
San Francisco Giants,90,72,0.556,—,46–35,44–37,1987
Boston Red Sox,89,73,0.549,—,53–28,36–45,1988
Oakland Athletics,104,58,0.642,—,54–27,50–31,1988
New York Mets,100,60,0.625,—,56–24,44–36,1988
Los Angeles Dodgers,94,67,0.584,—,45–36,49–31,1988
Toronto Blue Jays,89,73,0.549,—,46–35,43–38,1989
Oakland Athletics,99,63,0.611,—,54–27,45–36,1989
Chicago Cubs,93,69,0.574,—,48–33,45–36,1989
San Francisco Giants,92,70,0.568,—,53–28,39–42,1989
Boston Red Sox,88,74,0.543,—,51–30,37–44,1990
Oakland Athletics,103,59,0.636,—,51–30,52–29,1990
Pittsburgh Pirates,95,67,0.586,—,49–32,46–35,1990
Cincinnati Reds,91,71,0.562,—,46–35,45–36,1990
Toronto Blue Jays,91,71,0.562,—,46–35,45–36,1991
