"source","target","value"
"Conference Championship","1st seed",14
"Conference Championship","2nd seed",33
"Conference Championship","3rd seed",8
"Conference Championship","4th seed",5
"Conference Championship","5th seed",7
"Conference Championship","6th seed",3
"Divisional Round","1st seed",17
"Divisional Round","2nd seed",21
"Divisional Round","3rd seed",38
"Divisional Round","4th seed",30
"Divisional Round","5th seed",18
"Divisional Round","6th seed",16
"Super Bowl","1st seed",21
"Super Bowl","2nd seed",9
"Super Bowl","3rd seed",1
"Super Bowl","4th seed",3
"Super Bowl","5th seed",1
"Wild Card","3rd seed",21
"Wild Card","4th seed",27
"Wild Card","5th seed",43
"Wild Card","6th seed",31
"World Champion","1st seed",18
"World Champion","2nd seed",7
"World Champion","3rd seed",2
"World Champion","4th seed",5
"World Champion","5th seed",1
"World Champion","6th seed",2
