"source","target","value"
"Conference Championship",1,0.378571428571429
"Conference Championship",2,0.35
"Conference Championship",3,0.0785714285714286
"Conference Championship",4,0.0928571428571429
"Conference Championship",5,0.0642857142857143
"Conference Championship",6,0.0357142857142857
"Divisional Round",1,0.25
"Divisional Round",2,0.25
"Divisional Round",3,0.175
"Divisional Round",4,0.153571428571429
"Divisional Round",5,0.0964285714285714
"Divisional Round",6,0.075
"Super Bowl",1,0.557142857142857
"Super Bowl",2,0.228571428571429
"Super Bowl",3,0.0428571428571429
"Super Bowl",4,0.114285714285714
"Super Bowl",5,0.0285714285714286
"Super Bowl",6,0.0285714285714286
"Wild Card",3,0.213114754098361
"Wild Card",4,0.286885245901639
"Wild Card",5,0.286885245901639
"Wild Card",6,0.213114754098361
"World Champion",1,0.514285714285714
"World Champion",2,0.2
"World Champion",3,0.0571428571428571
"World Champion",4,0.142857142857143
"World Champion",5,0.0285714285714286
"World Champion",6,0.0571428571428571
