"source","target","value"
"World Champs",1,0.368421052631579
"World Champs",2,0.263157894736842
"World Champs",3,0.157894736842105
"World Champs",4,0.105263157894737
"World Champs",5,0.0526315789473684
"World Champs",8,0.0526315789473684
"Stanley Cup Final",1,0.157894736842105
"Stanley Cup Final",2,0.157894736842105
"Stanley Cup Final",3,0.105263157894737
"Stanley Cup Final",4,0.210526315789474
"Stanley Cup Final",6,0.105263157894737
"Stanley Cup Final",7,0.210526315789474
"Stanley Cup Final",8,0.0526315789473684
"Conference Finals",1,0.263157894736842
"Conference Finals",2,0.157894736842105
"Conference Finals",3,0.131578947368421
"Conference Finals",4,0.157894736842105
"Conference Finals",5,0.105263157894737
"Conference Finals",6,0.157894736842105
"Conference Finals",8,0.0263157894736842
"Conference Semi-Finals",1,0.105263157894737
"Conference Semi-Finals",2,0.0789473684210526
"Conference Semi-Finals",3,0.171052631578947
"Conference Semi-Finals",4,0.157894736842105
"Conference Semi-Finals",5,0.118421052631579
"Conference Semi-Finals",6,0.0921052631578947
"Conference Semi-Finals",7,0.184210526315789
"Conference Semi-Finals",8,0.0921052631578947
"Conference Quarter-Finals",1,0.0657894736842105
"Conference Quarter-Finals",2,0.118421052631579
"Conference Quarter-Finals",3,0.0986842105263158
"Conference Quarter-Finals",4,0.0921052631578947
"Conference Quarter-Finals",5,0.157894736842105
"Conference Quarter-Finals",6,0.151315789473684
"Conference Quarter-Finals",7,0.131578947368421
"Conference Quarter-Finals",8,0.184210526315789
