"source","target","value"
"World Champs","1st seed",0.388888888888889
"World Champs","2nd seed",0.222222222222222
"World Champs","3rd seed",0.111111111111111
"World Champs","4th seed",0.277777777777778
"World Series","1st seed",0.333333333333333
"World Series","2nd seed",0.222222222222222
"World Series","3rd seed",0.166666666666667
"World Series","4th seed",0.277777777777778
"League Championship","1st seed",0.319444444444444
"League Championship","2nd seed",0.208333333333333
"League Championship","3rd seed",0.222222222222222
"League Championship","4th seed",0.25
"Divisional Series","1st seed",0.25
"Divisional Series","2nd seed",0.25
"Divisional Series","3rd seed",0.25
"Divisional Series","4th seed",0.25
