"source","target","value"
"World Champs","1st seed","0.702702702702703"
"World Champs","2nd seed","0.162162162162162"
"World Champs","3rd seed","0.108108108108108"
"World Champs","4th seed","0"
"World Champs","5th seed","0"
"World Champs","6th seed","0.027027027027027"
"World Champs","7th seed","0"
"World Champs","8th seed","0"
"NBA Finals","1st seed","0.567567567567568"
"NBA Finals","2nd seed","0.243243243243243"
"NBA Finals","3rd seed","0.121621621621622"
"NBA Finals","4th seed","0.027027027027027"
"NBA Finals","6th seed","0.027027027027027"
"NBA Finals","8th seed","0.0135135135135135"
"Conference Finals","1st seed","0.425675675675676"
"Conference Finals","2nd seed","0.256756756756757"
"Conference Finals","3rd seed","0.209459459459459"
"Conference Finals","4th seed","0.0337837837837838"
"Conference Finals","5th seed","0.0337837837837838"
"Conference Finals","6th seed","0.027027027027027"
"Conference Finals","7th seed","0.00675675675675676"
"Conference Finals","8th seed","0.00675675675675676"
"Conference Semis","1st seed","0.233108108108108"
"Conference Semis","2nd seed","0.233108108108108"
"Conference Semis","3rd seed","0.185810810810811"
"Conference Semis","4th seed","0.108108108108108"
"Conference Semis","5th seed","0.141891891891892"
"Conference Semis","6th seed","0.0641891891891892"
"Conference Semis","7th seed","0.0168918918918919"
"Conference Semis","8th seed","0.0168918918918919"
"First Round","1st seed","0.117857142857143"
"First Round","2nd seed","0.117857142857143"
"First Round","3rd seed","0.132142857142857"
"First Round","4th seed","0.132142857142857"
"First Round","5th seed","0.132142857142857"
"First Round","6th seed","0.132142857142857"
"First Round","7th seed","0.117857142857143"
"First Round","8th seed","0.117857142857143"
