"source","target","value"
"World Champs","1st seed",0.514285714285714
"World Champs","2nd seed",0.2
"World Champs","3rd seed",0.0571428571428571
"World Champs","4th seed",0.142857142857143
"World Champs","5th seed",0.0285714285714286
"World Champs","6th seed",0.0571428571428571
"Super Bowl","1st seed",0.557142857142857
"Super Bowl","2nd seed",0.228571428571429
"Super Bowl","3rd seed",0.0428571428571429
"Super Bowl","4th seed",0.114285714285714
"Super Bowl","5th seed",0.0285714285714286
"Super Bowl","6th seed",0.0285714285714286
"Conference Championship","1st seed",0.378571428571429
"Conference Championship","2nd seed",0.35
"Conference Championship","3rd seed",0.0785714285714286
"Conference Championship","4th seed",0.0928571428571429
"Conference Championship","5th seed",0.0642857142857143
"Conference Championship","6th seed",0.0357142857142857
"Divisional Round","1st seed",0.25
"Divisional Round","2nd seed",0.25
"Divisional Round","3rd seed",0.175
"Divisional Round","4th seed",0.153571428571429
"Divisional Round","5th seed",0.0964285714285714
"Divisional Round","6th seed",0.075
"Wild Card","3rd seed",0.213114754098361
"Wild Card","4th seed",0.286885245901639
"Wild Card","5th seed",0.286885245901639
"Wild Card","6th seed",0.213114754098361
